pk,movie_id,keyword_id
1,713704,380
2,713704,3521
3,713704,3725
4,713704,9663
5,713704,10292
6,713704,12670
7,713704,15001
8,713704,156075
9,713704,157466
10,713704,161184
11,713704,161261
12,713704,176227
13,713704,210281
14,713704,241738
15,713704,283085
16,713704,286239
17,713704,296359
18,502356,282
19,502356,1878
20,502356,9696
21,502356,41645
22,502356,179430
23,502356,179431
24,502356,188294
25,502356,243959
26,640146,1701
27,640146,3126
28,640146,9663
29,640146,9715
30,640146,9717
31,640146,18035
32,640146,155030
33,640146,179430
34,640146,179431
35,640146,180547
36,758323,514
37,758323,588
38,758323,716
39,758323,717
40,758323,4931
41,758323,9712
42,758323,10410
43,758323,14999
44,758323,159940
45,758323,161198
46,758323,172391
47,758323,208289
48,758323,256183
49,447365,1701
50,447365,9663
51,447365,9715
52,447365,9717
53,447365,10125
54,447365,155030
55,447365,161176
56,447365,162881
57,447365,179430
58,447365,179431
59,447365,180547
60,447365,231295
61,447365,252634
62,447365,267488
63,868759,4289
64,76600,697
65,76600,3737
66,76600,4862
67,76600,6506
68,76600,9663
69,76600,10041
70,76600,10158
71,76600,11239
72,76600,185927
73,76600,194421
74,76600,205734
75,76600,209051
76,76600,219826
77,76600,273967
78,594767,9715
79,594767,10150
80,594767,33637
81,594767,179430
82,594767,179431
83,594767,229266
84,594767,296608
85,385687,9663
86,385687,10039
87,385687,18035
88,677179,276
89,677179,1157
90,677179,1643
91,677179,6075
92,677179,9663
93,677179,13014
94,677179,41368
95,677179,156121
96,677179,160246
97,677179,174258
98,677179,209476
99,677179,228041
100,934433,242
101,934433,2546
102,934433,2754
103,934433,3335
104,934433,3616
105,934433,3864
106,934433,9663
107,934433,9748
108,934433,9780
109,934433,9826
110,934433,10292
111,934433,10714
112,934433,11208
113,934433,11479
114,934433,11734
115,934433,12339
116,934433,12570
117,934433,14688
118,934433,14707
119,934433,17987
120,934433,160612
121,934433,177695
122,934433,179430
123,934433,210281
124,934433,218048
125,934433,220455
126,934433,234025
127,934433,238142
128,934433,241738
129,934433,272551
130,934433,305143
131,934433,305666
132,603692,242
133,603692,779
134,603692,2708
135,603692,9663
136,603692,10291
137,603692,10642
138,603692,179430
139,603692,181644
140,603692,206041
141,603692,207268
142,603692,312965
143,882569,502
144,882569,2297
145,882569,3541
146,882569,7158
147,882569,10084
148,882569,273967
149,727340,470
150,727340,782
151,727340,2051
152,727340,4289
153,727340,5265
154,727340,208289
155,727340,254325
156,727340,261681
157,727340,267761
158,727340,295022
159,948713,1721
160,948713,4152
161,948713,4933
162,948713,5515
163,948713,9994
164,948713,13084
165,948713,14643
166,948713,180059
167,948713,208951
168,948713,253463
169,420808,2041
170,420808,2343
171,420808,2710
172,420808,3205
173,420808,4332
174,420808,4978
175,420808,9714
176,420808,12988
177,420808,15101
178,420808,170362
179,420808,245230
180,493529,3200
181,493529,3882
182,493529,18360
183,493529,41645
184,493529,157931
185,493529,177438
186,493529,179431
187,493529,240303
188,493529,299786
189,493529,314844
190,315162,3205
191,315162,11478
192,315162,15285
193,315162,179430
194,315162,188748
195,315162,227812
196,842675,3801
197,842675,156039
198,842675,175975
199,842675,206959
200,842675,254147
201,842675,254148
202,876969,782
203,876969,33705
204,876969,232384
205,876969,243612
206,638974,1930
207,638974,2587
208,638974,12570
209,638974,13027
210,638974,259836
211,649609,3133
212,649609,6149
213,649609,10292
214,649609,208736
215,649609,211706
216,649609,223165
217,649609,232533
218,649609,261274
219,649609,280688
220,649609,283201
221,649609,312898
222,964980,6075
223,964980,6496
224,964980,9672
225,964980,179431
226,964980,208289
227,654374,155477
228,1085103,187056
229,1085103,220346
230,1085103,222019
231,1085103,295907
232,804150,2150
233,804150,2495
234,804150,5160
235,804150,9672
236,804150,10022
237,804150,179431
238,804150,187056
239,804150,259594
240,804150,266880
241,700391,1299
242,700391,1423
243,700391,1964
244,700391,11100
245,700391,12616
246,700391,15140
247,700391,160879
248,700391,163252
249,700391,169725
250,700391,178645
251,700391,183414
252,700391,193083
253,700391,201947
254,700391,239821
255,700391,240303
256,700391,251829
257,840326,1956
258,840326,2037
259,840326,2806
260,840326,225898
261,505642,697
262,505642,1701
263,505642,4833
264,505642,9663
265,505642,9715
266,505642,9717
267,505642,9920
268,505642,14785
269,505642,41282
270,505642,146946
271,505642,159103
272,505642,163764
273,505642,179431
274,505642,180059
275,505642,180547
276,505642,195394
277,505642,233184
278,505642,317138
279,283995,9663
280,283995,9715
281,283995,9717
282,283995,9789
283,283995,9882
284,283995,179430
285,283995,179431
286,283995,180547
287,436270,952
288,436270,2095
289,436270,9715
290,436270,9717
291,436270,15001
292,436270,155030
293,436270,179431
294,436270,229266
295,1008005,183963
296,1008005,212661
297,1008005,220712
298,1008005,231172
299,1008005,288394
300,816904,1160
301,816904,2598
302,816904,2904
303,816904,3339
304,816904,4344
305,816904,7578
306,816904,41586
307,816904,157894
308,816904,179430
309,816904,189092
310,816904,312923
311,32516,11316
312,32516,258403
313,736790,3754
314,736790,9955
315,736790,10683
316,736790,208136
317,736790,254508
318,997776,9717
319,997776,299149
320,552688,12367
321,552688,187056
322,552688,266503
323,946310,6054
324,946310,176419
325,946310,250060
326,946310,263457
327,980078,7942
328,980078,9825
329,980078,12339
330,980078,230793
331,980078,237771
332,980078,279729
333,980078,281237
334,980078,282174
335,980078,285961
336,447277,4344
337,447277,5938
338,447277,179411
339,447277,245230
340,1033219,4165
341,1033219,161176
342,67308,190370
343,747355,155477
344,44281,5952
345,44281,11336
346,44281,230876
347,81774,818
348,81774,2389
349,81774,9888
350,81774,10683
351,81774,33451
352,81774,33841
353,81774,155477
354,81774,183686
355,876792,3092
356,876792,5484
357,876792,15001
358,876792,189094
359,876792,210024
360,455476,9715
361,455476,13141
362,455476,285442
363,646389,3203
364,646389,3800
365,646389,6895
366,646389,170217
367,646389,249530
