pk,movie_id,genre_id
1,713704,27
2,713704,53
3,713704,14
4,502356,16
5,502356,10751
6,502356,12
7,502356,14
8,502356,35
9,640146,28
10,640146,12
11,640146,878
12,758323,27
13,758323,53
14,758323,14
15,447365,878
16,447365,12
17,447365,28
18,868759,28
19,868759,35
20,868759,10749
21,76600,878
22,76600,12
23,76600,28
24,594767,28
25,594767,35
26,594767,14
27,594767,12
28,385687,28
29,385687,80
30,1102776,53
31,1102776,28
32,1102776,80
33,677179,18
34,677179,28
35,934433,27
36,934433,9648
37,934433,53
38,603692,28
39,603692,53
40,603692,80
41,868985,18
42,868985,35
43,1037644,10752
44,1037644,36
45,1037644,28
46,882569,10752
47,882569,28
48,882569,53
49,727340,53
50,727340,28
51,785759,27
52,948713,28
53,948713,12
54,948713,36
55,948713,18
56,948713,10752
57,420808,10751
58,420808,14
59,420808,28
60,420808,12
61,1111140,37
62,1111140,28
63,493529,12
64,493529,14
65,493529,35
66,315162,16
67,315162,10751
68,315162,14
69,315162,12
70,315162,35
71,842675,878
72,842675,28
73,842675,18
74,876969,28
75,876969,53
76,638974,35
77,638974,80
78,649609,27
79,649609,35
80,649609,14
81,964980,18
82,964980,36
83,654374,10749
84,1085103,27
85,1085103,9648
86,1085103,53
87,804150,53
88,804150,35
89,804150,80
90,700391,878
91,700391,12
92,700391,53
93,840326,28
94,840326,10752
95,505642,28
96,505642,12
97,505642,878
98,283995,878
99,283995,12
100,283995,28
101,283995,35
102,1048300,28
103,436270,28
104,436270,12
105,436270,878
106,436270,14
107,1008005,27
108,816904,16
109,816904,35
110,816904,10751
111,816904,12
112,816904,14
113,32516,35
114,32516,18
115,32516,10749
116,579884,16
117,736790,12
118,736790,14
119,736790,10751
120,997776,16
121,997776,28
122,997776,14
123,552688,28
124,552688,53
125,946310,10751
126,946310,28
127,946310,12
128,980078,27
129,980078,53
130,447277,12
131,447277,10751
132,447277,14
133,447277,10749
134,1105014,27
135,1118721,35
136,1033219,28
137,1033219,878
138,67308,18
139,67308,12
140,67308,10749
141,67308,28
142,67308,36
143,747355,18
144,44281,35
145,44281,18
146,1104040,80
147,81774,35
148,81774,18
149,842945,28
150,876792,16
151,876792,14
152,876792,12
153,455476,14
154,455476,28
155,455476,12
156,646389,28
157,646389,12
158,646389,53
159,296271,27
160,296271,14
161,296271,878
162,296271,53
163,869626,16
164,869626,35
165,869626,10751
166,869626,18
167,869626,12
168,849869,28
169,849869,80
170,849869,53
171,536554,878
172,536554,27
173,536554,35
174,631842,27
175,631842,53
176,994128,27
177,994128,53
178,994128,14
179,758009,28
180,758009,35
181,758009,10749
182,943822,18
183,943822,36
184,1114905,53
185,1114905,9648
186,1114905,18
187,1114905,27
188,983282,878
189,983282,53
190,983282,18
191,1079078,18
192,1079078,10749
193,774752,35
194,774752,878
195,774752,12
196,385128,28
197,385128,12
198,385128,80
199,385128,53
200,325358,35
201,325358,28
202,118340,28
203,118340,878
204,118340,12
205,730629,28
206,730629,80
207,730629,53
208,676710,16
